ID,Summary,Description,Priority,Category
1,Bug 1 - API issue,Description of bug 1: A random issue with login.,High,Backend
2,Bug 2 - button issue,Description of bug 2: A random issue with validation.,High,UI
3,Bug 3 - login issue,Description of bug 3: A random issue with API.,Medium,Performance
4,Bug 4 - validation issue,Description of bug 4: A random issue with form.,Low,UI
5,Bug 5 - dashboard issue,Description of bug 5: A random issue with form.,Low,UI
6,Bug 6 - API issue,Description of bug 6: A random issue with form.,Low,UI
7,Bug 7 - login issue,Description of bug 7: A random issue with login.,Medium,Security
8,Bug 8 - server issue,Description of bug 8: A random issue with button.,High,Performance
9,Bug 9 - API issue,Description of bug 9: A random issue with button.,Low,Backend
10,Bug 10 - server issue,Description of bug 10: A random issue with button.,Low,Security
11,Bug 11 - form issue,Description of bug 11: A random issue with login.,Medium,Performance
12,Bug 12 - button issue,Description of bug 12: A random issue with login.,Medium,UI
13,Bug 13 - API issue,Description of bug 13: A random issue with login.,Low,Validation
14,Bug 14 - login issue,Description of bug 14: A random issue with validation.,Medium,Backend
15,Bug 15 - form issue,Description of bug 15: A random issue with form.,High,Performance
16,Bug 16 - validation issue,Description of bug 16: A random issue with validation.,Low,Backend
17,Bug 17 - dashboard issue,Description of bug 17: A random issue with server.,High,Validation
18,Bug 18 - API issue,Description of bug 18: A random issue with server.,Low,Performance
19,Bug 19 - form issue,Description of bug 19: A random issue with UI.,Medium,Validation
20,Bug 20 - server issue,Description of bug 20: A random issue with server.,Low,Security
21,Bug 21 - form issue,Description of bug 21: A random issue with server.,Low,Security
22,Bug 22 - validation issue,Description of bug 22: A random issue with button.,High,Backend
23,Bug 23 - dashboard issue,Description of bug 23: A random issue with API.,High,Performance
24,Bug 24 - form issue,Description of bug 24: A random issue with server.,Low,UI
25,Bug 25 - button issue,Description of bug 25: A random issue with login.,High,Backend
26,Bug 26 - server issue,Description of bug 26: A random issue with form.,High,Performance
27,Bug 27 - dashboard issue,Description of bug 27: A random issue with validation.,Medium,Performance
28,Bug 28 - dashboard issue,Description of bug 28: A random issue with form.,Medium,Backend
29,Bug 29 - button issue,Description of bug 29: A random issue with server.,Medium,UI
30,Bug 30 - API issue,Description of bug 30: A random issue with UI.,Low,Performance
31,Bug 31 - button issue,Description of bug 31: A random issue with form.,Low,Performance
